id,name,category,url
140000,神奈川県,県全域,http://www.pref.kanagawa.jp/
141003,横浜市,横浜,https://www.city.yokohama.lg.jp/
141305,川崎市,川崎,https://www.city.kawasaki.jp/
141500,相模原市,県央,https://www.city.sagamihara.kanagawa.jp/
14201,横須賀市,横須賀,https://www.city.yokosuka.kanagawa.jp/
14203,平塚市,湘南,http://www.city.hiratsuka.kanagawa.jp/
14204,鎌倉市,横須賀,https://www.city.kamakura.kanagawa.jp/
14205,藤沢市,湘南,https://www.city.fujisawa.kanagawa.jp/
14206,小田原市,県西,http://www.city.odawara.kanagawa.jp/
14207,茅ヶ崎市,湘南,https://www.city.chigasaki.kanagawa.jp/
14208,逗子市,横須賀,https://www.city.zushi.kanagawa.jp/
14210,三浦市,横須賀,http://www.city.miura.kanagawa.jp/
14211,秦野市,湘南,https://www.city.hadano.kanagawa.jp/
14212,厚木市,県央,https://www.city.atsugi.kanagawa.jp/
14213,大和市,県央,http://www.city.yamato.lg.jp/
14214,伊勢原市,湘南,https://www.city.isehara.kanagawa.jp/
14215,海老名市,県央,https://www.city.ebina.kanagawa.jp/
14216,座間市,県央,https://www.city.zama.kanagawa.jp/
14217,南足柄市,県西,http://www.city.minamiashigara.kanagawa.jp/
14218,綾瀬市,県央,https://www.city.ayase.kanagawa.jp/
14301,葉山町,横須賀,https://www.town.hayama.lg.jp/
14321,寒川町,湘南,http://www.town.samukawa.kanagawa.jp/
14341,大磯町,湘南,http://www.town.oiso.kanagawa.jp/
14342,二宮町,湘南,http://www.town.ninomiya.kanagawa.jp/
14361,中井町,県西,https://www.town.nakai.kanagawa.jp/
14362,大井町,県西,https://www.town.oi.kanagawa.jp/
14363,松田町,県西,https://town.matsuda.kanagawa.jp/
14364,山北町,県西,http://www.town.yamakita.kanagawa.jp/
14366,開成町,県西,https://www.town.kaisei.kanagawa.jp/
14382,箱根町,県西,http://www.town.hakone.kanagawa.jp/
14383,真鶴町,県西,http://www.town.manazuru.kanagawa.jp/
14384,湯河原町,県西,https://www.town.yugawara.kanagawa.jp/
14401,愛川町,県央,https://www.town.aikawa.kanagawa.jp/
14402,清川村,県央,https://www.town.kiyokawa.kanagawa.jp/
